time,dB
0,47.70441946
0.1402717917,52.85088697
0.24555625,53.06665014
0.3507684167,52.82917016
0.4553952916,52.88472712
0.5617848332,52.54718088
0.6679324165,52.81893913
0.7743609999,52.56751114
0.8808402501,52.57720285
0.9850019999,53.04072134
1.091577167,52.76982232
1.198007792,52.63971443
1.3020845,52.78381054
1.408700708,52.97785228
1.515129833,52.91144687
1.619159667,53.33360772
1.723088792,53.13682394
1.825311375,53.2691717
1.929577292,53.28900785
2.032553542,53.14223436
2.136612375,53.02189006
2.242031625,53.0716384
2.348425458,53.34560993
2.453825875,53.2645275
2.558732292,52.96560693
2.6650825,53.09521613
2.770920583,53.11764515
2.875390875,52.99382895
2.976992125,52.9186999
3.083313375,52.92234222
3.188216792,52.93029299
3.29460225,52.87527975
3.400991417,53.20274166
3.505401083,53.11760195
3.61119825,52.93601613
3.717020375,53.01857281
3.822623375,52.91618293
3.928009375,53.16109624
4.033076583,53.23116094
4.135680583,53.02307486
4.239836417,53.11732613
4.3446335,53.2047418
4.450772167,53.23298453
4.556991583,53.34593593
4.66131825,53.39178879
4.767716833,53.38509959
4.874092583,53.58787063
4.977364,53.3145391
5.079803167,53.46227806
5.185995917,53.59739956
5.291314583,53.73442064
5.394669833,53.56354968
5.500975625,53.8272417
5.604425958,53.733851
5.708545417,53.43507242
5.81132475,53.61584663
5.917499042,53.38290411
6.021713958,53.35640994
6.127885417,53.23172762
6.233517,53.65641598
6.338894167,55.82169335
6.444605042,56.26739456
6.551015792,56.32917519
6.655942917,56.33759561
6.761278875,56.36442399
6.867733708,56.30573519
6.97311725,56.17066848
7.077232,56.19091926
7.183141125,56.14793066
7.289507292,56.12389927
7.394258917,55.94920268
7.500379708,55.89044918
7.60676125,55.9582247
7.711518875,55.99640436
7.818242125,56.10499031
7.924509708,56.13381838
8.02858275,56.0495687
8.135390917,56.00005282
8.241619167,56.06280839
8.345728083,56.00162124
8.448794417,55.90098167
8.553028917,56.00883134
8.658774458,55.82953497
8.762883333,55.76277992
8.867231417,55.79113613
8.973618208,55.7142149
9.08009325,55.70884202
9.186778458,55.81838878
9.293024792,55.63790683
9.397132292,55.7099076
9.498646583,55.7001136
9.604910875,55.6503886
9.710304333,55.59447768
9.814423333,55.61940568
9.921224958,55.60208443
10.02743658,55.59188886
10.13153329,55.59310639
10.23821671,55.62285548
10.34457246,55.74531493
10.45079621,55.58600512
10.55304817,55.58146978
10.65827617,55.62709119
10.76176979,55.59951004
10.86589767,55.55051044
10.97220871,55.55708327
11.07855633,55.517129
11.18303383,55.56749303
11.28530967,55.5743851
11.391021,55.61309558
11.49620121,55.54525015
11.60159796,55.68371319
11.70790121,55.58254669
11.81331054,56.32432789
11.91738446,56.59110512
12.02371583,56.43922802
12.12982429,56.37520382
12.23452762,57.06507048
12.34080058,56.61327145
12.44617025,56.64615659
12.55152167,56.49620907
12.6578765,56.69531611
12.76319675,56.74865242
12.86860538,56.58970628
12.9709075,56.62536868
13.07732179,56.64735389
13.18173671,56.75252788
13.28578217,56.75026629
13.38976196,56.74038065
13.49615292,56.80834646
13.59890296,56.73779449
13.70303879,56.7533593
13.80944942,56.71817257
13.91584821,56.66777481
14.0201645,56.62530436
14.12647808,56.54127991
14.2327875,56.65023553
