TIME,CH1,Model,TBS2074B
-5.984,-0.0034,,
-5.976,0.0002,,
-5.968,-0.0006,,
-5.96,-0.0002,,
-5.952,0.0002,,
-5.944,0.0032,,
-5.936,-0.0014,,
-5.928,-0.001,,
-5.92,0.0022,,
-5.912,-0.0026,,
-5.904,0.0054,,
-5.896,0.0004,,
-5.888,-0.0004,,
-5.88,0.001,,
-5.872,0.0008,,
-5.864,0.001,,
-5.856,0.0066,,
-5.848,-0.002,,
-5.84,0.001,,
-5.832,-0.0026,,
-5.824,-0.0034,,
-5.816,0.0062,,
-5.808,0.0038,,
-5.8,-0.0016,,
-5.792,0.0012,,
-5.784,-0.0028,,
-5.776,0.0034,,
-5.768,0.004,,
-5.76,0.0008,,
-5.752,-0.0018,,
-5.744,0.0004,,
-5.736,0.0006,,
-5.728,0.0006,,
-5.72,0.0038,,
-5.712,0.0028,,
-5.704,0.0014,,
-5.696,-0.0008,,
-5.688,-0.0024,,
-5.68,0.003,,
-5.672,-0.0032,,
-5.664,0.0028,,
-5.656,0.0028,,
-5.648,-0.001,,
-5.64,-0.0014,,
-5.632,-0.001,,
-5.624,-0.002,,
-5.616,0.004,,
-5.608,0.001,,
-5.6,0.0006,,
-5.592,0.0044,,
-5.584,-0.0016,,
-5.576,0.0008,,
-5.568,0.0012,,
-5.56,0,,
-5.552,0.0012,,
-5.544,0.0018,,
-5.536,0.0008,,
-5.528,0.0004,,
-5.52,0.0004,,
-5.512,-0.0038,,
-5.504,0.0014,,
-5.496,0.0012,,
-5.488,0.0004,,
-5.48,-0.0008,,
-5.472,0.0008,,
-5.464,-0.0058,,
-5.456,0.0064,,
-5.448,-0.0022,,
-5.44,0.0016,,
-5.432,0.0004,,
-5.424,-0.0034,,
-5.416,-0.0004,,
-5.408,0.0022,,
-5.4,-0.0018,,
-5.392,-0.001,,
-5.384,-0.0032,,
-5.376,0.0022,,
-5.368,0.004,,
-5.36,-0.0096,,
-5.352,-0.0024,,
-5.344,-0.002,,
-5.336,-0.0032,,
-5.328,0.0024,,
-5.32,-0.0022,,
-5.312,0.0028,,
-5.304,-0.0008,,
-5.296,0.001,,
-5.288,-0.0012,,
-5.28,-0.0038,,
-5.272,-0.0018,,
