time,dB
107.282252,54.6041497
107.3839238,54.80443794
107.4878281,54.82841123
107.5941546,54.27081413
107.6976847,54.50138058
107.7997261,54.46343935
107.9013524,54.48969356
108.0062703,54.62112219
108.1127338,54.73108903
108.2149733,54.70373001
108.3170714,54.68014188
108.4188372,54.81089646
108.5236212,54.52803327
108.629955,54.62730378
108.7324367,54.64325937
108.8344358,54.79418487
108.936205,54.8116728
109.0425895,54.96627074
109.1489498,54.77083049
109.2516879,54.89489937
109.3534804,54.70818188
109.459879,54.7867843
109.5662673,54.64788625
109.6689324,54.82922151
109.7707483,54.85347437
109.87328,54.92071413
109.9795804,54.74117181
110.084334,54.98372936
110.1862713,54.78663143
110.2879874,54.74081649
110.3944305,54.97195596
110.5009116,54.81617251
110.6035284,55.03945992
110.7051844,54.92770434
110.8115717,54.74998978
110.9178954,54.7973737
111.0208015,55.03126799
111.477341,54.82285682
111.5826419,54.95152733
111.6869975,54.93175746
111.7934558,55.07139858
111.899933,55.04076988
112.004129,55.0000893
112.1064508,54.92461866
112.2120466,54.83494006
112.3173025,54.81585308
112.4214997,54.7315064
112.5282988,54.71526552
112.6343955,54.71848634
112.7406329,54.67558819
112.8444702,54.53018931
112.9511204,54.39809805
113.0555987,54.57978814
113.1609521,54.76348003
113.2665926,54.61987266
113.3727169,54.81717006
113.4790671,54.6463558
113.5849718,54.58217079
113.6900576,54.74245628
113.7958246,54.84921603
113.9022231,54.4875304
114.0071583,54.77647789
114.1135789,54.70213313
114.2199523,54.52119009
114.3243201,54.79227357
114.4306743,54.49188397
114.5370522,54.77681336
114.6414254,54.36207401
114.747132,54.75072086
114.8532939,54.72813636
114.9586493,54.73246357
115.0644853,54.61632669
115.1704973,54.38064287
115.2756635,54.50623593
115.3824076,54.49937236
115.4886313,54.3683358
115.5928192,54.57330974
115.6994453,54.30655919
115.8057661,54.71607833
115.9099072,54.61025351
116.0154015,54.37520071
116.1209013,54.81380072
116.2271748,54.91231258
116.3340254,54.50795972
116.4400385,55.18701144
116.5442467,54.53136948
116.6511717,54.70316139
116.7571591,54.83395638
116.8611655,54.25388706
116.9678575,54.41114807
117.0741597,54.2134931
117.1783144,54.62446218
117.2847863,54.51004836
117.3876007,53.54727658
117.4914261,53.43783318
117.5976038,53.4246008
117.6996688,53.3703438
117.8042643,53.43162927
117.908762,53.35209909
118.0128323,53.4258261
118.1150935,53.31460027
118.2215686,53.24358296
118.3259693,53.48297896
118.4300525,53.40018068
118.5363903,53.23558448
118.6417921,53.42417005
118.7472767,53.34311128
118.8495795,53.44681335
118.9566755,53.21127161
119.0603628,53.46944066
119.1645157,53.2902061
119.270148,53.41418828
119.3765398,53.35139975
119.4816936,53.36872235
119.5883455,53.22385242
119.6946113,53.31987745
119.7988145,53.31302236
119.905223,53.29277684
120.0116038,53.23147607
120.1159476,53.28238092
120.2220688,53.2328691
120.3284417,53.22912434
120.4330299,53.17579305
120.5394584,53.26096844
120.6458114,53.20925143
120.7501746,53.20386425
120.856671,53.3343008
120.9630254,53.26901477
121.0672117,53.26554275
121.172063,53.24657997
121.2784916,53.26522235
121.3842948,53.34688581
121.490691,53.22020877
121.5928138,53.34598189
121.6974845,53.27909175
121.8016955,53.36778411
121.9082128,53.36134733
122.0121513,53.4306543
122.11474,53.290181
122.2189958,53.23152562
122.3253739,53.40871056
122.4317687,53.24239058
122.536163,53.27134907
122.6424583,53.21385583
122.7487863,53.3262681
122.853322,53.2346273
122.9555452,53.1696329
123.0612104,53.22002724
123.1663774,53.26355919
123.2705748,53.32420018
123.3771271,53.41995194
123.4820538,53.21785703
123.5877619,53.32525552
123.6940533,53.25763618
123.7958349,53.3312651
123.9008643,53.23880386
124.0071608,53.17206109
124.1115619,53.3585055
124.2178656,55.56833167
124.3222251,56.66529069
124.4285807,56.56615373
124.5348871,56.56026932
124.639379,56.41190663
124.7456671,56.46539979
124.8513814,56.40846548
124.9564328,56.46074536
125.0607342,56.37831747
125.1663707,56.42276403
125.2694873,56.35758316
125.3735802,56.61363756
125.4796173,56.44117508
125.5859263,56.3443018
125.6907533,56.42618392
125.7971377,56.30123966
125.9035179,56.37780555
126.0078159,56.39493831
126.114176,56.29223287
126.2206173,56.31157036
126.3229603,56.30705951
126.4246694,56.27258607
126.5310088,56.37594302
126.6373684,56.3717806
126.7402219,56.25607817
126.8419117,56.2650583
126.9482637,56.2966476
127.0546445,56.33248613
127.1574696,56.23243229
127.25924,56.2801093
127.3656625,56.31618944
127.4671513,56.21803614
127.572812,56.26295569
127.674853,56.3046748
127.7765263,56.32101241
127.8828812,56.2617382
127.9854099,56.15170837
128.090209,56.19016968
128.1921577,56.25147446
128.2939843,56.29533427
128.3964266,56.15602477
128.4993736,56.39734541
128.6056925,56.47601984
128.7077843,56.36837077
128.8097743,56.24436755
128.9115646,56.31081762
129.0139214,56.43738461
129.1203313,56.29836746
129.2250458,56.43410189
129.3271225,56.43353447
129.4287932,56.29481752
129.5351152,56.36955311
129.6414521,56.49111469
129.7443765,56.4178909
129.8460326,56.41837719
129.9524312,56.39852499
130.058769,56.44848016
130.1615328,56.41019535
130.265806,56.45949639
130.3722097,56.39477597
130.6804105,56.49629988
130.783223,56.41600966
130.8895598,56.37844042
130.9940287,56.41323968
131.0961506,56.34744954
131.1978093,56.54920777
131.3042432,56.42198877
131.4106208,56.39847088
131.5134583,56.46144664
131.615205,56.40576546
