time,dB
0.1402717917,52.85088697
0.24555625,53.06665014
0.3507684167,52.82917016
0.4553952916,52.88472712
0.5617848332,52.54718088
0.6679324165,52.81893913
0.7743609999,52.56751114
0.8808402501,52.57720285
0.9850019999,53.04072134
1.091577167,52.76982232
1.198007792,52.63971443
1.3020845,52.78381054
1.408700708,52.97785228
1.515129833,52.91144687
1.619159667,53.33360772
1.723088792,53.13682394
1.825311375,53.2691717
1.929577292,53.28900785
2.032553542,53.14223436
2.136612375,53.02189006
2.242031625,53.0716384
2.348425458,53.34560993
2.453825875,53.2645275
2.558732292,52.96560693
2.6650825,53.09521613
2.770920583,53.11764515
2.875390875,52.99382895
2.976992125,52.9186999
3.083313375,52.92234222
3.188216792,52.93029299
3.29460225,52.87527975
3.400991417,53.20274166
3.505401083,53.11760195
3.61119825,52.93601613
3.717020375,53.01857281
3.822623375,52.91618293
3.928009375,53.16109624
4.033076583,53.23116094
4.135680583,53.02307486
4.239836417,53.11732613
4.3446335,53.2047418
4.450772167,53.23298453
4.556991583,53.34593593
4.66131825,53.39178879
4.767716833,53.38509959
4.874092583,53.58787063
4.977364,53.3145391
5.079803167,53.46227806
5.185995917,53.59739956
5.291314583,53.73442064
5.394669833,53.56354968
5.500975625,53.8272417
5.604425958,53.733851
5.708545417,53.43507242
5.81132475,53.61584663
5.917499042,53.38290411
6.021713958,53.35640994
6.127885417,53.23172762
6.233517,53.65641598
6.338894167,55.82169335
6.444605042,56.26739456
6.551015792,56.32917519
6.655942917,56.33759561
6.761278875,56.36442399
6.867733708,56.30573519
6.97311725,56.17066848
7.077232,56.19091926
7.183141125,56.14793066
7.289507292,56.12389927
7.394258917,55.94920268
7.500379708,55.89044918
7.60676125,55.9582247
7.711518875,55.99640436
7.818242125,56.10499031
7.924509708,56.13381838
8.02858275,56.0495687
8.135390917,56.00005282
8.241619167,56.06280839
8.345728083,56.00162124
8.448794417,55.90098167
8.553028917,56.00883134
8.658774458,55.82953497
8.762883333,55.76277992
8.867231417,55.79113613
8.973618208,55.7142149
9.08009325,55.70884202
9.186778458,55.81838878
9.293024792,55.63790683
9.397132292,55.7099076
9.498646583,55.7001136
9.604910875,55.6503886
9.710304333,55.59447768
9.814423333,55.61940568
9.921224958,55.60208443
10.02743658,55.59188886
10.13153329,55.59310639
10.23821671,55.62285548
10.34457246,55.74531493
10.45079621,55.58600512
10.55304817,55.58146978
10.65827617,55.62709119
10.76176979,55.59951004
10.86589767,55.55051044
10.97220871,55.55708327
11.07855633,55.517129
11.18303383,55.56749303
11.28530967,55.5743851
11.391021,55.61309558
11.49620121,55.54525015
11.60159796,55.68371319
11.70790121,55.58254669
11.81331054,56.32432789
11.91738446,56.59110512
12.02371583,56.43922802
12.12982429,56.37520382
12.23452762,57.06507048
12.34080058,56.61327145
12.44617025,56.64615659
12.55152167,56.49620907
12.6578765,56.69531611
12.76319675,56.74865242
12.86860538,56.58970628
12.9709075,56.62536868
13.07732179,56.64735389
13.18173671,56.75252788
13.28578217,56.75026629
13.38976196,56.74038065
13.49615292,56.80834646
13.59890296,56.73779449
13.70303879,56.7533593
13.80944942,56.71817257
13.91584821,56.66777481
14.0201645,56.62530436
14.12647808,56.54127991
14.2327875,56.65023553
14.33721471,56.6318518
14.44355996,56.54091317
14.54989258,56.62243065
14.65430554,56.58073747
14.75575142,56.52466816
14.85896071,56.49731377
14.96542988,56.50540776
15.07167454,56.48396469
15.17724158,56.5451668
15.28352829,56.57183821
15.38683017,56.48257552
15.48847783,56.4158551
15.59495621,56.26562105
15.69802821,56.28586057
15.80206667,56.21110782
15.90416587,56.28075123
16.00583029,56.204774
16.11025483,56.29215552
16.21638575,56.17363913
16.31939867,56.20655193
16.42148075,56.12243451
16.52318037,56.07443006
16.62948379,55.98305043
16.73517333,55.97676974
16.83681442,55.96984832
16.93893696,56.0624987
17.04054975,55.99582148
17.14652737,55.9744639
17.25286612,55.98705249
17.35632708,56.04859817
17.45780733,56.00778141
17.56419558,55.95886889
17.670579,55.99609867
17.77352712,55.9711738
17.875228,56.0421786
17.98163608,56.04505997
18.08805833,55.84889019
18.19078296,55.25680952
18.29250133,55.34201269
18.39894954,55.25767054
18.50528808,55.19394606
18.60788546,55.39777812
18.70984542,55.25217388
18.81626542,55.39490795
18.91989988,55.36063141
19.02344846,55.4026528
19.12541504,55.17701394
19.22717608,55.39509782
19.32917188,55.11559282
19.4354855,55.40196507
19.54080954,55.44008455
19.64280742,55.27107693
19.74459254,55.35335777
19.84937479,55.33473926
19.95147954,55.22764133
20.05293242,55.41696142
20.15840158,55.31250021
20.26037083,55.28362049
20.36204454,55.17037268
20.46447137,55.37431266
20.57101717,55.13836086
20.67565108,55.17209718
20.77768237,55.2795365
20.87940775,55.37497286
20.98576787,55.16579766
21.08991963,55.20767823
21.19302946,55.07874618
21.29506358,55.30626878
21.39666525,55.04558992
21.49918633,55.27725789
21.60162271,55.15343211
21.70593492,55.28825638
21.81052317,55.18831715
21.91260617,55.23074884
22.014272,55.29178936
22.12068133,55.21302453
22.22457267,55.12250905
22.32784921,55.38370918
22.42988012,55.48684716
22.53154992,55.17553738
22.637861,55.05019184
22.74423758,55.05672718
22.84713758,55.20859591
22.94888392,55.08600033
23.05520267,55.29170795
23.16152583,55.14697408
23.26489354,55.00564846
23.36955338,55.24554281
23.47593554,54.89818877
23.57955492,55.01315915
23.6815745,55.24938264
23.78331596,53.4447113
23.88966117,48.14296411
23.99519996,48.30505752
24.09690696,48.68205822
24.19890754,48.59394203
24.30067042,48.52652221
24.40324921,48.62913417
24.50959596,48.52166334
24.61424958,48.37852236
24.71625908,48.44432419
24.81805321,48.4598479
24.92004296,48.63395204
25.02637304,48.5389285
25.13164858,48.49306329
25.23369971,48.35085452
25.33539683,48.49694886
25.44190421,48.32761229
25.54815996,48.54676019
25.6508235,48.68885921
25.75666454,48.41320912
25.86301479,48.7364064
25.96615642,48.5588649
26.0680655,48.74321089
26.16981996,48.44181748
26.27607112,48.6950434
26.38219083,48.33378935
26.48537229,48.57218656
26.58708854,48.57224227
26.69343521,48.33010061
26.80006292,48.23604553
26.90254521,48.47133939
27.00430954,48.56805666
27.11060554,48.29076641
27.21706467,48.40297822
27.31980733,48.6514984
27.42151558,48.58266813
27.52792042,48.43844016
27.63360779,48.58194537
27.73511675,48.59816078
27.837049,48.29477682
27.93874463,48.35655417
28.03973254,48.74913022
28.14610042,48.54138404
28.25252104,49.00683159
28.35455125,48.65444211
28.45627358,48.53118327
28.56261917,48.62578254
28.66894079,48.55185594
28.77175104,48.49253884
28.8734915,48.32492004
28.97644079,48.36057657
29.08285583,48.29174211
29.18711696,48.42646486
29.28913817,48.50503344
29.39085042,48.50000804
29.49728829,48.14800196
29.60362542,43.3840769
29.706389,42.15020283
29.80807542,42.42299337
29.91291529,42.27904417
30.01972996,41.50056638
30.12159646,41.39769007
30.22378467,42.21420406
30.32540492,42.53174162
30.42799642,42.31960354
30.53438288,41.56421357
30.63904425,42.2504038
30.74108117,42.43216271
30.84279254,42.5316993
30.94764421,41.20106917
31.05298933,41.42454633
31.15629846,41.3376321
31.25842142,41.87514264
31.36015767,40.55870038
31.46657696,40.89551568
31.57229996,40.30792367
31.67374583,41.74958851
31.77580154,41.81481531
31.877505,41.41416855
31.98373117,41.56897065
32.08948612,41.90811917
32.19118712,41.45467885
32.29322808,41.07382673
32.39488017,41.87923939
32.50122892,41.49093144
32.60756196,41.41755689
32.71045775,41.92691448
32.81210475,41.73660481
32.91854192,42.33496029
33.02499429,42.7979342
33.12758396,43.7512157
33.22931554,42.56395721
33.33567346,42.8319041
33.44203233,42.4875267
33.54486975,42.68577496
33.64656492,41.85746451
33.75297125,40.82243158
33.85933479,41.5873991
33.96219812,40.79450293
34.06383458,40.87644583
34.16644292,42.16822994
34.27281708,41.47413021
34.37738729,42.45452878
34.47947238,42.45535476
34.58114408,42.57826593
34.68752933,42.15382566
34.79392108,43.35856523
34.89665783,42.64211411
34.99840129,41.83620352
35.10479783,41.47986489
35.2064745,44.23976629
35.31200025,47.80102566
35.41403096,47.76784731
35.51575796,47.66555413
35.62210733,47.90491632
35.72844842,48.15104238
35.83123875,47.93551451
35.93297046,47.78368971
36.03650921,47.7611494
36.13991054,47.73280633
36.24630367,47.85835557
36.34863187,47.80675765
36.45031646,47.62937092
