time,xaccelerometer,yaccelerometer,zaccelerometer,force
2.31,0.065466371,-11.0755360191,0.2327139136,-1.2054425831
2.32,0.0874662346,-11.2757382051,0.2359791152,-1.2468073555
2.33,0.1083817898,-11.4657473406,0.2290380076,-1.2863736595
2.34,0.1266232424,-11.6428886007,0.2097485502,-1.3241414951
2.35,0.1373784979,-11.80608185,0.1829166547,-1.3583123941
2.36,0.1374391929,-11.8074067456,0.1826627532,-1.392483293
2.360083682,0.1411767422,-11.9602396741,0.1489562047,-1.4230572552
2.370041841,0.1267446588,-12.2381937722,0.0701390365,-1.451832749
2.39,0.1128173586,-12.366999583,0.0357357714,-1.4788097744
2.4,0.0924691542,-12.487773663,0.0104462322,-1.5021898632
2.41,0.0720943652,-12.596222863,-0.0067796431,-1.5219730152
2.42,0.0506516167,-12.6917950222,-0.0132709473,-1.5399576988
2.43,0.0281364962,-12.7750223729,-0.004735997,-1.5543454457
2.44,0.0109569903,-12.840028234,0.0140270257,-1.5669347243
2.45,0.0007413814,-12.882512896,0.0440685735,-1.5759270661
2.46,-0.0041058434,-12.8997866087,0.0805770615,-1.5831209395
2.47,0.0001469759,-12.896114281,0.1219275681,-1.5867178763
2.48,0.0071065684,-12.8618926134,0.1611569985,-1.5867178763
2.49,0.0204853866,-12.8002897489,0.1960967787,-1.5831209395
2.5,0.0381622399,-12.7139910552,0.2219220583,-1.5777255345
2.51,0.058526406,-12.6024727271,0.238613576,-1.5669347243
2.52,0.0794352329,-12.4678706936,0.2424252418,-1.5543454457
2.53,0.0976757923,-12.3144696115,0.2344125241,-1.5381592305
2.54,0.1132354197,-12.1481662044,0.2145796577,-1.5183760784
2.55,0.1223754762,-11.970052699,0.1872080921,-1.4949959897
2.56,0.1224108057,-11.7753223881,0.1501738649,-1.4698174326
2.57,0.1218766983,-11.5719747767,0.1098909777,-1.4428404072
2.58,0.1149311373,-11.3621793096,0.0685252394,-1.412266445
2.59,0.0994148602,-11.1470134133,0.0341131352,-1.3780955461
2.6,0.0785244065,-10.9318269805,0.0029391171,-1.3439246472
2.61,0.0586817676,-10.7155714034,-0.0143066652,-1.3079552799
