time,ax,ay,az,bx,by,bz,wx,wy,wz,v
0.00999999977648258,0.078032948076725,0.128319665789604,9.80836391448975,12.4552555084229,-13.7448492050171,39.0366439819336,-0.166503056883812,0.0907239317893982,-0.0741104334592819,-0.0099424384534359
0.0199999995529652,0.101646512746811,0.146924406290054,9.81813430786133,12.935658454895,-13.3526172637939,39.935302734375,-0.146193906664848,0.0832416117191315,-0.0730415284633637,-0.0104657243937254
0.0299999993294477,0.0926365852355957,0.136815518140793,9.82709312438965,12.9958553314209,-13.097580909729,40.3235855102539,-0.116464041173458,0.0623378232121468,-0.073873296380043,-0.0104657243937254
0.0399999991059303,0.101102143526077,0.118479609489441,9.8184061050415,13.1357297897339,-12.9211053848267,39.7315177917481,-0.0836478173732758,0.0430221036076546,-0.0731996148824692,-0.0099424384534359
0.0500000007450581,0.0870428755879402,0.118143558502197,9.8251314163208,13.696626663208,-12.7444009780884,38.9544715881348,-0.042039655148983,0.0204961057752371,-0.0737152025103569,-0.0099424384534359
0.0599999986588955,0.0829461887478828,0.114903770387173,9.79621124267578,13.2962522506714,-13.0386028289795,40.3842926025391,-0.00931319780647755,-0.00285808788612485,-0.0665832310914993,-0.0104657243937254
0.0700000002980232,0.0869067832827568,0.127109885215759,9.8222074508667,13.2960968017578,-12.6465997695923,39.3639450073242,0.015068587847054,-0.0190803054720163,-0.0537563934922218,-0.0099424384534359
0.0799999982118607,0.0852597579360008,0.118479609489441,9.81732273101807,13.6162099838257,-12.4111461639404,38.9142379760742,0.0231618210673332,-0.0198564622551203,-0.036413237452507,-0.0099424384534359
0.0900000035762787,0.105539061129093,0.117874726653099,9.80939292907715,13.8365783691406,-12.038649559021,39.2200736999512,0.00917274132370949,-0.0044858711771667,-0.0157501678913832,-0.0094191525131464
0.100000001490116,0.0963930413126946,0.115038186311722,9.79225921630859,13.6968212127686,-11.9399728775024,39.0376358032227,-0.0031476435251534,0.00537695037201047,-0.0029447847045958,-0.0109890112653375
0.109999999403954,0.0937253162264824,0.124743819236755,9.83971977233887,13.2761478424072,-12.2544059753418,37.4853324890137,0.00123759848065674,-0.002885099966079,-0.00151481456123292,-0.0099424384534359
0.119999997317791,0.103551805019379,0.129610374569893,9.82262706756592,13.1760549545288,-11.8621368408203,35.8512496948242,0.00064654421294108,-0.00431149499490857,0.00224163779057562,-0.0099424384534359
0.129999995231628,0.110724486410618,0.119810044765472,9.80299091339111,12.6758966445923,-11.5678577423096,34.8294715881348,0.00199389387853444,-0.00580978626385331,0.00259198015555739,-0.0094191525131464
0.140000000596046,0.107716538012028,0.144370451569557,9.81320858001709,12.6553649902344,-11.4303951263428,34.7059555053711,0.00380836729891598,-0.00327317789196968,-0.00012972962576896,-0.0109890112653375
0.150000005960464,0.107526317238808,0.130820140242577,9.79378700256348,12.6954956054688,-11.5085754394531,33.4620628356934,0.00171902182046324,0.000946823100093752,0.00302494340576232,-0.0094191525131464
0.159999996423721,0.0933170467615128,0.124340564012527,9.85088634490967,12.7753686904907,-11.430814743042,32.2953033447266,0.00516286678612232,-0.00479291845113039,-0.00156684964895248,-0.0099424384534359
