time,Signal strength,ax,ay,az,bx,by,bz,wx,wy,wz,v
0.00999999977648258,31,-0.0324449948966503,0.117417894303799,9.84556293487549,817.339904785156,-917.881896972656,-866.996276855469,-0.171705529093742,0.0859018415212631,-0.0645644143223763,0.319746136665344
0.0199999995529652,43,0.0788483694195747,0.163222908973694,9.81330013275147,819.236938476563,-917.573669433594,-864.649230957031,-0.171705529093742,0.0869708955287933,-0.0709787160158157,0.384578943252564
0.0299999993294477,41,-0.029093949124217,0.118797086179256,9.84459114074707,818.798950195313,-917.644836425781,-865.191101074219,-0.171705529093742,0.0861387550830841,-0.0659859031438828,0.319782614707947
0.0399999991059303,41,0.0802446380257607,0.163498759269714,9.81316184997559,818.264221191406,-917.731750488281,-865.852722167969,-0.171705529093742,0.0868129506707192,-0.0700310543179512,0.384485989809036
0.0500000007450581,42,0.0482727661728859,0.146831765770912,9.8253927230835,821.018188476563,-919.123229980469,-861.793151855469,-0.105966858565807,0.0496827624738216,-0.0735906511545181,0.269460082054138
0.0599999986588955,41,0.0478538870811462,0.163774579763412,9.80876159667969,825.418334960938,-928.415832519531,-852.799377441406,-0.0469059683382511,0.0138381943106651,-0.0706145539879799,0.246224328875542
0.0700000002980232,42,0.0439147986471653,0.156475484371185,9.8209924697876,826.765014648438,-930.880432128906,-850.883422851563,-0.00847430154681206,-0.0089949956163764,-0.0635260567069054,0.101763963699341
0.0799999982118607,42,0.0477142594754696,0.169389486312866,9.81288433074951,827.906188964844,-932.102416992188,-848.771057128906,0.0187813099473715,-0.0195830762386322,-0.0531090274453163,-0.0388913862407208
0.0900000035762787,41,0.0415411405265331,0.17001011967659,9.81464862823486,828.796630859375,-932.563293457031,-847.570739746094,0.0269402321428061,-0.0177491381764412,-0.0337695628404617,-0.113570317625999
0.100000001490116,42,0.0316786468029022,0.171418473124504,9.80273532867432,828.856201171875,-932.265441894531,-847.778686523438,0.013329153880477,-0.00954917818307877,-0.00840341113507748,-0.120202921330929
0.109999999403954,43,0.0505766123533249,0.15426878631115,9.82625484466553,827.7861328125,-931.464965820313,-849.15380859375,-0.00411774776875973,-0.00208341330289841,0.00373479281552136,-0.0657302811741829
0.119999997317791,42,0.0602994784712791,0.151067480444908,9.79871082305908,826.869445800781,-931.852172851563,-850.775634765625,-0.00154237123206258,-0.000935391173698008,-0.00237672636285424,0.000114684822619893
0.129999995231628,42,0.0491803400218487,0.153234392404556,9.80269527435303,828.239318847656,-931.372619628906,-849.285522460938,0.00130061281379312,0.000212630940950476,0.000666618521790952,0.033942885696888
0.140000000596046,45,0.0511646531522274,0.146418005228043,9.80463790893555,827.628845214844,-932.026184082031,-849.779602050781,0.00117922388017178,0.000632319366559386,0.001571862725541,0.0144852800294757
0.150000005960464,42,0.0465677082538605,0.150239959359169,9.81232929229736,827.154052734375,-932.560668945313,-850.227661132813,7.36189758754335E-05,-0.00498053943738341,0.000381423480575904,-0.0277077034115791
0.159999996423721,42,0.0613171383738518,0.154653370380402,9.81232929229736,827.401000976563,-933.1826171875,-849.773071289063,7.36189758754335E-05,-0.00727658346295357,-0.00191462063230574,-0.0211230330169201
0.170000001788139,44,0.0713192597031593,0.163527935743332,9.81468868255615,827.7939453125,-934.417297363281,-848.698791503906,0.00118508643936366,-0.00401529064401984,-0.00198772992007434,0.0527710393071175
0.180000007152557,42,0.0563496463000774,0.145452573895454,9.81946563720703,828.343933105469,-933.77197265625,-847.371826171875,0.00233310856856406,-0.00986368581652641,-0.00095523422351107,0.145003214478493
0.189999997615814,42,0.0359775461256504,0.150693491101265,9.8162841796875,829.23828125,-934.459899902344,-847.291015625,0.00443465448915958,0.00136513565666974,0.00114631175529212,0.155189737677574
0.200000002980232,44,0.0620743483304977,0.165981292724609,9.82122993469238,829.211730957031,-935.518920898438,-846.857482910156,0.00148338614962995,0.00142203713767231,0.000818699540104717,0.112732827663422
0.209999993443489,42,0.0512049309909344,0.16649317741394,9.81479835510254,829.137084960938,-936.543395996094,-845.7197265625,-0.000721961376257241,-0.000783310097176582,-0.000329322530888021,0.0606101900339127
0.219999998807907,42,0.0579660944640636,0.162848934531212,9.82701778411865,829.200500488281,-937.193664550781,-843.905151367188,-0.001153374905698,0.000218493427382782,0.00210569822229445,0.133787333965302
0.230000004172325,42,0.0499375462532043,0.163045212626457,9.81714630126953,828.97216796875,-937.354431152344,-841.874633789063,0.00075953546911478,0.0031521744094789,0.00287196575663984,0.189469322562218
0.239999994635582,42,0.0387593433260918,0.15520504117012,9.82214260101318,828.422119140625,-937.741638183594,-841.137451171875,0.000292946700938046,0.00436158059164882,1.72566215042025E-05,0.113845564424992
0.25,42,0.0500181019306183,0.161154136061668,9.81598567962647,827.535217285156,-938.484558105469,-840.264831542969,-0.00238036876544356,0.00129478587768972,0.000410736101912335,-0.0753248408436775
0.259999990463257,43,0.0549345798790455,0.167577967047691,9.79545974731445,827.273681640625,-938.797729492188,-839.064086914063,-0.000376761629013345,-0.00204099621623755,0.00414723949506879,-0.219268396496773
